non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
NEW,n̪ˤ,consonant,nasal,dental,voiced,pharyngealized
dÖ,dˤ,consonant,stop,alveolar,voiced,pharyngealized
d³,dˤ,consonant,stop,alveolar,voiced,pharyngealized
d³?,dˤ,consonant,stop,alveolar,voiced,pharyngealized
AUTO(d),dˁ,consonant,stop,alveolar,voiced,pharyngealized
b³,bˤ,consonant,stop,bilabial,voiced,pharyngealized
d5Ö,d̪ˤ,consonant,stop,dental,voiced,pharyngealized
d5³,d̪ˤ,consonant,stop,dental,voiced,pharyngealized
G³,ɢˤ,consonant,stop,uvular,voiced,pharyngealized
g³,ɡˤ,consonant,stop,velar,voiced,pharyngealized
rÖ,rˤ,consonant,trill,alveolar,voiced,pharyngealized
Ò³w,ʁˤʷ,consonant,fricative,uvular,voiced,pharyngealized_labialized
dz,dz,consonant,affricate,alveolar,voiced,plain
dB,dβ,consonant,affricate,alveolar-to-bilabial,voiced,plain
dD,dð,consonant,affricate,alveolar-to-interdental,voiced,plain
dÆ,dʝ,consonant,affricate,alveolar-to-palatal,voiced,plain
d½,dʐ,consonant,affricate,alveolar-to-retroflex,voiced,plain
dü,dʑ,consonant,affricate,alveolopalatal,voiced,plain
bƒz,bz,consonant,affricate,bilabial-to-alveolar,voiced,plain
bz,bz,consonant,affricate,bilabial-to-alveolar,voiced,plain
bƒL,bɮ,consonant,affricate,bilabial-to-lateral,voiced,plain
